DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
27/08/2005,I'LL BE OK,McFLY,1,10,3.24
03/09/2005,THE IMPORTANCE OF BEING IDLE,OASIS,1,28,3.39
10/09/2005,DARE,GORILLAZ,1,4,4.04
17/09/2005,DON'T CHA,PUSSYCAT DOLLS FT. BUSTA RHYMES,3,9,4.32
08/10/2005,PUSH THE BUTTON,SUGABABES,3,15,3.37
29/10/2005,I BET YOU LOOK GOOD ON THE DANCEFLOOR,ARCTIC MONKEYS,1,37,2.53
12/11/2005,YOU RAISE ME UP,WESTLIFE,2,15,4.01
19/11/2005,HUNG UP,MADONNA,3,7,5.37
10/12/2005,STICKWITU,PUSSYCAT DOLLS,2,9,3.27
24/12/2005,JCB SONG,NIZLOPI,1,8,3.48
31/12/2005,THAT'S MY GOAL,SHAYNE WARD,4,14,3.38
28/01/2006,WHEN THE SUN GOES DOWN,ARCTIC MONKEYS,1,22,3.22
04/02/2006,NASTY GIRL,"NOTORIOUS BIG FT. DIDDY, NELLY, JAGGED EDGE & AVERY STORM",2,10,4.46
18/02/2006,THUNDER IN MY HEART AGAIN,MECK FT. LEO SAYER,2,25,3.09
04/03/2006,SORRY,MADONNA,1,5,4.41
11/03/2006,IT'S CHICO TIME,CHICO,2,15,2.49
25/03/2006,NO TOMORROW,ORSON,1,11,2.47
01/04/2006,SO SICK,NE-YO,1,7,3.27
08/04/2006,CRAZY,GNARLS BARKLEY,9,5,2.57
10/06/2006,I WISH I WAS A PUNK ROCKER (WITH FLOWERS IN MY HAIR),SANDI THOM,1,52,2.31
17/06/2006,MANEATER,NELLY FURTADO,3,8,4.18
08/07/2006,HIPS DON'T LIE,SHAKIRA FT. WYCLEF JEAN,1,14,3.38
15/07/2006,SMILE,LILY ALLEN,2,5,3.16
29/07/2006,"DON'T STOP ME NOW/PLEASE, PLEASE",McFLY,1,32,3.24
05/08/2006,HIPS DON'T LIE,SHAKIRA FT. WYCLEF JEAN,4,14,3.38
02/09/2006,DÉJÀ VU,BEYONCE FT. JAY-Z,1,7,4.00
09/09/2006,SEXYBACK,JUSTIN TIMBERLAKE,1,8,4.02
16/09/2006,I DON'T FEEL LIKE DANCIN',SCISSOR SISTERS,4,25,4.08
14/10/2006,AMERICA,RAZORLIGHT,1,7,4.09
21/10/2006,WELCOME TO THE BLACK PARADE,MY CHEMICAL ROMANCE,2,27,5.11
04/11/2006,STAR GIRL,McFLY,1,9,3.29
11/11/2006,PUT YOUR HANDS UP FOR DETROIT,FEDDE LE GRANDE,1,29,6.36
18/11/2006,THE ROSE,WESTLIFE,1,8,3.39
25/11/2006,SMACK THAT,AKON FT. EMINEM,1,10,3.32
02/12/2006,PATIENCE,TAKE THAT,4,8,3.22
30/12/2006,A MOMENT LIKE THIS,LEONA LEWIS,4,18,4.17
27/01/2007,GRACE KELLY,MIKA,5,11,3.07
03/03/2007,RUBY,KAISER CHIEFS,1,4,3.24
10/03/2007,SHINE,TAKE THAT,2,5,3.31
23/03/2007,WALK THIS WAY,SUGABABES VS GIRLS ALOUD,1,13,2.55
31/03/2007,I'M GONNA BE (500 MILES),THE PROCLAIMERS FT. BRIAN POTTER & ANDY PIPKIN,3,24,3.39
21/04/2007,GIVE IT TO ME,TIMBALAND FT. NELLY FURTADO & JUSTIN TIMBERLAKE,1,13,3.54
28/04/2007,BEAUTIFUL LIAR,BEYONCE & SHAKIRA,3,14,3.19
19/05/2007,BABY'S COMING BACK/TRANSYLVANIA,McFLY,1,31,2.50
26/05/2007,UMBRELLA,RIHANNA FT. JAY-Z,10,8,4.35
04/08/2007,THE WAY I ARE,TIMBALAND FT. DOE & KERI HILSON,2,13,2.59
18/08/2007,WITH EVERY HEARTBEAT,ROBYN WITH KLEERUP,1,20,4.13
25/08/2007,STRONGER,KANYE WEST,2,8,5.11
08/09/2007,BEAUTIFUL GIRLS,SEAN KINGSTON,4,15,4.01
06/10/2007,ABOUT YOU NOW,SUGABABES,4,13,3.32
03/11/2007,BLEEDING LOVE,LEONA LEWIS,7,13,4.22
22/12/2007,WHAT A WONDERFUL WORLD,EVA CASSIDY & KATIE MELUA,1,22,4.19
29/12/2007,WHEN YOU BELIEVE,LEON JACKSON,3,16,4.12
19/01/2008,NOW YOU'RE GONE,BASSHUNTER FT. DJ MENTAL THEO'S BAZZHEADZ,5,15,5.41
23/02/2008,MERCY,DUFFY,5,5,3.39
29/03/2008,AMERICAN BOY,ESTELLE FT. KANYE WEST,4,12,4.44
26/04/2008,4 MINUTES,MADONNA FT. JUSTIN TIMBERLAKE,4,9,3.09
24/05/2008,THAT'S NOT MY NAME,TING TINGS,1,18,5.10
31/05/2008,TAKE A BOW,RIHANNA,2,10,3.49
14/06/2008,SINGIN' IN THE RAIN,MINT ROYALE,2,19,3.28
28/06/2008,VIVA LA VIDA,COLDPLAY,1,12,4.01
05/07/2008,CLOSER,NE-YO,1,6,3.54
12/07/2008,DANCE WIV ME,DIZZEE RASCAL FT. CALVIN HARRIS & CHROME,4,12,3.24
09/08/2008,ALL SUMMER LONG,KID ROCK,1,15,4.56
16/08/2008,I KISSED A GIRL,KATY PERRY,5,15,2.59
20/09/2008,SEX ON FIRE,KINGS OF LEON,3,11,3.23
11/10/2008,SO WHAT,PINK,3,7,3.35
01/11/2008,THE PROMISE,GIRLS ALOUD,1,11,3.44
08/11/2008,HERO,X FACTOR FINALISTS,3,4,4.21
29/11/2008,IF I WERE A BOY,BEYONCE,1,15,4.09
06/12/2008,GREATEST DAY,TAKE THAT,1,12,3.59
13/12/2008,RUN,LEONA LEWIS,2,3,5.14
27/12/2008,HALLELUJAH,ALEXANDRA BURKE,3,10,3.37
17/01/2009,JUST DANCE,LADY GAGA,3,10,4.01
07/02/2009,THE FEAR,LILY ALLEN,4,8,3.29
07/03/2009,MY LIFE WOULD SUCK WITHOUT YOU,KELLY CLARKSON,1,30,3.31
14/03/2009,RIGHT ROUND,FLO RIDA FT. KESHA,1,11,3.22
21/03/2009,ISLANDS IN THE STREAM,VANESSA JENKINS & BRYN WEST FT. TOM JONES & ROBIN GIBB,1,21,4.12
28/03/2009,POKER FACE,LADY GAGA,3,10,3.57
18/04/2009,I'M NOT ALONE,CALVIN HARRIS,2,13,3.30
02/05/2009,NUMBER 1,TINCHY STRYDER FT. N-DUBZ,3,8,3.32
23/05/2009,BOOM BOOM POW,BLACK EYED PEAS,1,13,4.11
30/05/2009,BONKERS,DIZZEE RASCAL FT. ARMAND VAN HELDEN,2,7,2.57
13/06/2009,BOOM BOOM POW,BLACK EYED PEAS,1,13,4.11
20/06/2009,MAMA DO,PIXIE LOTT,1,7,3.16
27/06/2009,WHEN LOVE TAKES OVER,DAVID GUETTA FT. KELLY ROWLAND,1,20,3.11
04/07/2009,BULLETPROOF,LA ROUX,1,11,3.25
11/07/2009,EVACUATE THE DANCEFLOOR,CASCADA,2,23,3.27
25/07/2009,BEAT AGAIN,JLS,2,10,3.19
08/08/2009,I GOTTA FEELING,BLACK EYED PEAS,1,15,4.49
15/08/2009,NEVER LEAVE YOU,TINCHY STRYDER FT. AMELLE BERRABAH,1,15,3.30
22/08/2009,I GOTTA FEELING,BLACK EYED PEAS,1,15,4.49
29/08/2009,SEXY CHICK,DAVID GUETTA FT. AKON,1,10,3.14
05/09/2009,HOLIDAY,DIZZEE RASCAL FT. CHROME,1,7,3.40
12/09/2009,RUN THIS TOWN,JAY-Z FT. RIHANNA & KANYE WEST,1,13,4.27
19/09/2009,BOYS AND GIRLS,PIXIE LOTT,1,14,3.02
26/09/2009,BREAK YOUR HEART,TAIO CRUZ,3,16,3.23
17/10/2009,OOPSY DAISY,CHIPMUNK,1,11,3.38
24/10/2009,BAD BOYS,ALEXANDRA BURKE FT. FLO RIDA,1,8,3.26
31/10/2009,FIGHT FOR THIS LOVE,CHERYL COLE,2,19,3.43
14/11/2009,EVERYBODY IN LOVE,JLS,1,17,3.15
21/11/2009,MEET ME HALFWAY,BLACK EYED PEAS,1,15,4.44
28/11/2009,YOU ARE NOT ALONE,X FACTOR FINALISTS 2009,1,17,4.09
05/12/2009,THE OFFICIAL BBC CHILDREN IN NEED MEDLEY,PETER KAY'S ANIMATED ALL STAR,2,40,4.30
19/12/2009,BAD ROMANCE,LADY GAGA,1,11,4.54
26/12/2009,KILLING IN THE NAME,RAGE AGAINST THE MACHINE,1,19,5.13
02/01/2010,THE CLIMB,JOE McELDERRY,1,9,3.36
09/01/2010,BAD ROMANCE,LADY GAGA,1,11,4.54
16/01/2010,REPLAY,IYAZ,2,6,3.02
30/01/2010,FIREFLIES,OWL CITY,3,9,3.48
20/02/2010,EVERYBODY HURTS,HELPING HAITI,2,15,5.23
06/03/2010,IN MY HEAD,JASON DERULO,1,10,3.19
13/03/2010,PASS OUT,TINIE TEMPAH,2,8,4.28
27/03/2010,TELEPHONE,LADY GAGA & BEYONCE,2,9,3.40
10/04/2010,THIS AIN'T A LOVE SONG,SCOUTING FOR GIRLS,2,22,3.30
24/04/2010,OMG,USHER FT. WILL I AM,1,3,4.29
01/05/2010,ONCE,DIANA VICKERS,1,4,3.10
08/05/2010,GOOD TIMES,ROLL DEEP,3,10,3.44
29/05/2010,NOTHIN' ON YOU,B.O.B FT. BRUNO MARS,1,14,4.28
05/06/2010,DIRTEE DISCO,DIZZEE RASCAL,1,12,3.58
12/06/2010,GETTIN' OVER YOU,DAVID GUETTA FT. CHRIS WILLIS,1,16,3.02
19/06/2010,SHOUT,SHOUT FT. DIZZEE & JAMES CORDEN,2,5,3.22
03/07/2010,CALIFORNIA GURLS,KATY PERRY FT. SNOOP DOGG,2,16,3.54
17/07/2010,THE CLUB IS ALIVE,JLS,1,17,3.42
24/07/2010,AIRPLANES,B.O.B FT. HAYLEY WILLIAMS,1,9,3.00
31/07/2010,WE NO SPEAK AMERICANO,YOLANDA BE COOL VS D CUP,1,21,4.29
07/08/2010,ALL TIME LOW,WANTED,1,12,3.25
14/08/2010,BEAUTIFUL MONSTER,NEYO,1,17,4.11
21/08/2010,CLUB CAN'T HANDLE ME,FLO RIDA FT. DAVID GUETTA,1,20,3.54
28/08/2010,GREEN LIGHT,ROLL DEEP,1,11,3.57
04/09/2010,DYNAMITE,TAIO CRUZ,1,8,3.23
11/09/2010,PLEASE DON'T LET ME GO,OLLY MURS,1,22,3.24
18/09/2010,START WITHOUT YOU,ALEXANDRA BURKE FT. LAZA MORGAN,2,17,3.33
02/10/2010,JUST THE WAY YOU ARE (AMAZING),BRUNO MARS,1,30,3.40
09/10/2010,WRITTEN IN THE STARS,TINIE TEMPAH,1,20,3.27
16/10/2010,FORGET YOU,CEE LO GREEN,2,10,3.42
30/10/2010,JUST THE WAY YOU ARE (AMAZING),BRUNO MARS,1,30,3.41
06/11/2010,PROMISE THIS,CHERYL COLE,1,12,3.22
13/11/2010,ONLY GIRL (IN THE WORLD),RIHANNA,2,24,3.55
27/11/2010,LOVE YOU MORE,JLS,1,13,3.47
04/12/2010,HEROES,X FACTOR FINALISTS 2010,2,6,4.21
18/12/2010,THE TIME (DIRTY BIT),BLACK EYED PEAS,1,20,5.07
25/12/2010,WHEN WE COLLIDE,MATT CARDLE,3,15,3.43
15/01/2011,WHAT'S MY NAME,RIHANNA FT. DRAKE,1,14,4.23
22/01/2011,GRENADE,BRUNO MARS,2,7,3.43
05/02/2011,WE R WHO WE R,KESHA,1,13,3.24
12/02/2011,PRICE TAG,JESSIE J FT. B.O.B,2,9,3.41
26/02/2011,SOMEONE LIKE YOU,ADELE,4,16,4.45
26/03/2011,DON'T HOLD YOUR BREATH,NICOLE SCHERZINGER,1,22,3.17
02/04/2011,SOMEONE LIKE YOU,ADELE,1,16,4.45
09/04/2011,ON THE FLOOR,JENNIFER LOPEZ FT. PITBULL,2,12,3.50
23/04/2011,PARTY ROCK ANTHEM,LMFAO/LAUREN BENNETT/GOONROCK,4,17,4.22
21/05/2011,THE LAZY SONG,BRUNO MARS,1,13,3.10
28/05/2011,GIVE ME EVERYTHING,PITBULL/NE-YO/AFROJACK/NAYER,3,18,4.12
18/06/2011,CHANGED THE WAY YOU KISS ME,EXAMPLE,2,27,3.15
02/07/2011,DON'T WANNA GO HOME,JASON DERULO,2,19,3.25
16/07/2011,LOUDER,DJ FRESH FT. SIAN EVANS,1,6,3.26
23/07/2011,GLAD YOU CAME,WANTED,2,13,3.17
06/08/2011,SHE MAKES ME WANNA,JLS FT. DEV,1,18,3.39
13/08/2011,SWAGGER JAGGER,CHER LLOYD,1,14,3.12
20/08/2011,PROMISES,NERO,1,8,4.17
27/08/2011,DON'T GO,WRETCH 32 FT. JOSH KUMRA,1,8,3.57
03/09/2011,HEART SKIPS A BEAT,OLLY MURS FT. RIZZLE KICKS,1,18,3.22
10/09/2011,STAY AWAKE,EXAMPLE,1,10,3.24
17/09/2011,ALL ABOUT TONIGHT,PIXIE LOTT,1,17,3.06
24/09/2011,WHAT MAKES YOU BEAUTIFUL,ONE DIRECTION,1,24,3.19
01/10/2011,NO REGRETS,DAPPY,1,10,4.00
08/10/2011,LOCA PEOPLE,SAK NOEL,1,11,5.40
15/10/2011,WE FOUND LOVE,RIHANNA FT. CALVIN HARRIS,3,13,3.35
05/11/2011,READ ALL ABOUT IT,PROFESSOR GREEN FT EMELI SANDE,2,17,3.55
19/11/2011,WE FOUND LOVE,RIHANNA FT. CALVIN HARRIS,3,13,3.35
10/12/2011,WISHING ON A STAR,X FACTOR FINALISTS 2011,1,17,4.52
17/12/2011,DANCE WITH ME TONIGHT,OLLY MURS,1,21,3.22
24/12/2011,CANNONBALL,LITTLE MIX,1,10,3.25
31/12/2011,WHEREVER YOU ARE,MILITARY WIVES/GARETH MALONE,1,16,2.51
07/01/2012,PARADISE,COLDPLAY,1,8,4.38
14/01/2012,GOOD FEELING,FLO RIDA,1,12,4.08
21/01/2012,DOMINO,JESSIE J,2,6,3.51
04/02/2012,TWILIGHT,COVER DRIVE,1,8,3.27
11/02/2012,TITANIUM,DAVID GUETTA FT. SIA,1,8,4.05
18/02/2012,SOMEBODY THAT I USED TO KNOW,GOTYE FT. KIMBRA,1,28,4.04
25/02/2012,HOT RIGHT NOW,DJ FRESH FT. RITA ORA,1,13,3.02
03/03/2012,SOMEBODY THAT I USED TO KNOW,GOTYE FT. KIMBRA,4,28,4.04
31/03/2012,PART OF ME,KATY PERRY,1,10,3.36
07/04/2012,TURN UP THE MUSIC,CHRIS BROWN,1,17,3.47
14/04/2012,CALL ME MAYBE,CARLY RAE JEPSEN,4,13,3.13
12/05/2012,YOUNG,TULISA,1,5,3.35
19/05/2012,R.I.P.,RITA ORA FT. TINIE TEMPAH,2,6,3.48
02/06/2012,WE ARE YOUNG,FUN FT. JANELLE MONAE,1,12,4.10
09/06/2012,FEEL THE LOVE,RUDIMENTAL FT. JOHN NEWMAN,1,13,4.05
16/06/2012,SING,GARY BARLOW/ COMMONWEALTH BAND,1,4,4.00
23/06/2012,CALL MY NAME,CHERYL,1,12,3.27
30/06/2012,PAYPHONE,MAROON 5 FT. WIZ KHALIFA,1,8,3.51
07/07/2012,THIS IS LOVE,WILL I AM FT. EVA SIMONS,1,12,4.07
14/07/2012,PAYPHONE,MAROON 5 FT. WIZ KHALIFA,2,8,3.51
04/08/2012,SPECTRUM,FLORENCE & THE MACHINE,3,8,5.11
18/08/2012,HEATWAVE,WILEY FT. MS D,2,8,3.15
25/08/2012,HOW WE DO (PARTY),RITA ORA,1,17,4.06
01/09/2012,BOM BOM,SAM & THE WOMP,1,7,2.54
08/09/2012,WINGS,LITTLE MIX,1,5,3.40
15/09/2012,LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE),NE-YO,1,41,4.11
22/09/2012,HALL OF FAME,SCRIPT FT. WILL I AM,2,12,3.22
06/10/2012,GANGNAM STYLE,PSY,1,13,3.39
13/10/2012,DIAMONDS,RIHANNA,1,8,3.45
20/10/2012,DON'T YOU WORRY CHILD,SWEDISH HOUSE MAFIA/MARTIN,1,21,3.32
27/10/2012,SWEET NOTHING,CALVIN HARRIS/FLORENCE WELCH,1,13,3.32
03/11/2012,BENEATH YOUR BEAUTIFUL,LABRINTH FT. EMELI SANDE,1,22,4.31
10/11/2012,CANDY,ROBBIE WILLIAMS,2,5,3.21
24/11/2012,LITTLE THINGS,ONE DIRECTION,1,13,3.39
01/12/2012,TROUBLEMAKER,OLLY MURS FT. FLO RIDA,2,12,3.05
08/12/2012,THE POWER OF LOVE,GABRIELLE APLIN,1,17,4.05
15/12/2012,IMPOSSIBLE,JAMES ARTHUR,1,10,3.29
22/12/2012,HE AIN'T HEAVY HE'S MY BROTHER,JUSTICE COLLECTIVE,1,30,4.33
29/12/2012,IMPOSSIBLE,JAMES ARTHUR,3,10,3.29
19/01/2013,SCREAM & SHOUT,WILL I AM FT. BRITNEY SPEARS,2,14,4.43
02/02/2013,GET UP (RATTLE),BINGO PLAYERS FT. FAR EAST MOVEMENT,2,15,2.36
16/02/2013,THRIFT SHOP,MACKLEMORE/RYAN LEWIS/WANZ,1,11,3.55
23/02/2013,I COULD BE THE ONE,AVICII VS NICKY ROMERO,1,18,3.28
02/03/2013,ONE WAY OR ANOTHER (TEENAGE KICKS),ONE DIRECTION,1,34,2.37
09/03/2013,MIRRORS,JUSTIN TIMBERLAKE,3,7,8.04
30/03/2013,WHAT ABOUT US,SATURDAYS FT. SEAN PAUL,1,13,3.40
06/04/2013,LET'S GET READY TO RHUMBLE,PJ & DUNCAN,1,26,3.49
13/04/2013,NEED U (100 PERCENT),DUKE DUMONT FT. AME,2,20,2.51
27/04/2013,WAITING ALL NIGHT,RUDIMENTAL FT. ELLA EYRE,1,17,4.52
04/05/2013,GET LUCKY,DAFT PUNK FT. PHARRELL WILLIAMS,4,9,4.08
01/06/2013,LA LA LA,NAUGHTY BOY FT. SAM SMITH,1,8,3.42
08/06/2013,BLURRED LINES,ROBIN THICKE/TI/PHARRELL,4,13,4.23
06/07/2013,I LOVE IT,ICONA POP FT. CHARLI XCX,1,9,2.35
13/07/2013,LOVE ME AGAIN,JOHN NEWMAN,1,13,3.59
20/07/2013,BLURRED LINES,ROBIN THICKE/TI/PHARRELL,1,13,4.23
27/07/2013,WAKE ME UP,AVICII,3,10,7.05
17/08/2013,WE CAN'T STOP,MILEY CYRUS,1,13,3.51
24/08/2013,BURN,ELLIE GOULDING,3,4,3.51
14/09/2013,ROAR,KATY PERRY,2,4,3.43
28/09/2013,TALK DIRTY,JASON DERULO FT. 2 CHAINZ,2,10,2.57
12/10/2013,COUNTING STARS,ONEREPUBLIC,1,14,4.17
19/10/2013,WRECKING BALL,MILEY CYRUS,1,13,3.41
26/10/2013,COUNTING STARS,ONEREPUBLIC,1,14,4.17
02/11/2013,ROYALS,LORDE,1,6,3.10
09/11/2013,THE MONSTER,EMINEM FT. RIHANNA,1,11,4.10
16/11/2013,LOOK RIGHT THROUGH,STORM QUEEN,1,18,2.28
23/11/2013,ANIMALS,MARTIN GARRIX,1,7,5.04
30/11/2013,SOMEWHERE ONLY WE KNOW,LILY ALLEN,1,22,3.28
07/12/2013,UNDER CONTROL,CALVIN HARRIS/ALESSO/HURTS,1,13,3.04
14/12/2013,SOMEWHERE ONLY WE KNOW,LILY ALLEN,2,22,3.28
28/12/2013,SKYSCRAPER,SAM BAILEY,1,10,3.40
04/01/2014,HAPPY,PHARRELL WILLIAMS,1,5,3.52
11/01/2014,TIMBER,PITBULL FT. KESHA,1,6,3.24
18/01/2014,HAPPY,PHARRELL WILLIAMS,2,5,3.52
01/02/2014,RATHER BE,CLEAN BANDIT FT. JESS GLYNNE,4,9,3.47
01/03/2014,MONEY ON MY MIND,SAM SMITH,1,16,3.12
08/03/2014,HAPPY,PHARRELL WILLIAMS,1,5,3.52
15/03/2014,MY LOVE,ROUTE 94 FT. JESS GLYNNE,1,7,4.19
22/03/2014,TSUNAMI (JUMP),DVBBS & BORGEOUS/TINIE TEMPAH,1,14,2.39
29/03/2014,I GOT U,DUKE DUMONT FT. JAX JONES,1,7,4.45
05/04/2014,SHE LOOKS SO PERFECT,5 SECONDS OF SUMMER,1,20,3.22
12/04/2014,THE MAN,ALOE BLACC,1,7,4.15
19/04/2014,NOBODY TO LOVE,SIGMA,1,14,4.12
26/04/2014,HIDEAWAY,KIESZA,1,8,4.11
03/05/2014,WAVES,MR PROBZ,1,5,3.28
10/05/2014,SUMMER,CALVIN HARRIS,1,6,3.42
17/05/2014,WAVES,MR PROBZ,1,5,3.28
24/05/2014,I WILL NEVER LET YOU DOWN,RITA ORA,1,25,3.23
31/05/2014,STAY WITH ME,SAM SMITH,1,12,2.52
07/06/2014,I WANNA FEEL,SECONDCITY,1,12,3.05
14/06/2014,SING,ED SHEERAN,1,4,3.55
21/06/2014,GHOST,ELLA HENDERSON,2,5,3.33
05/07/2014,GECKO (OVERDRIVE),OLIVER HELDENS & BECKY HILL,1,17,2.45
12/07/2014,PROBLEM,ARIANA GRANDE FT. IGGY AZALEA,1,7,3.13
19/07/2014,IT'S MY BIRTHDAY,WILL I AM FT. CODY WISE,1,16,4.12
26/07/2014,ME AND MY BROKEN HEART,RIXTON,1,22,3.13
02/08/2014,CRAZY STUPID LOVE,CHERYL COLE FT. TINIE TEMPAH,1,17,3.45
09/08/2014,RUDE,MAGIC,1,4,3.44
16/08/2014,AM I WRONG,NICO & VINZ,2,10,4.06
30/08/2014,LOVERS ON THE SUN,DAVID GUETTA FT. SAM MARTIN,1,17,3.23
06/09/2014,PRAYER IN C,LILLY WOOD & ROBIN SCHULZ,2,11,3.10
20/09/2014,BLAME,CALVIN HARRIS FT. JOHN NEWMAN,1,5,3.32
27/09/2014,CHANGING,SIGMA FT. PALOMA FAITH,1,8,3.25
04/10/2014,BANG BANG,JESSIE J/GRANDE/MINAJ,1,9,3.19
11/10/2014,ALL ABOUT THAT BASS,MEGHAN TRAINOR,4,19,3.07
08/11/2014,THINKING OUT LOUD,ED SHEERAN,1,17,4.41
15/11/2014,I DON'T CARE,CHERYL,1,12,4.00
22/11/2014,WAKE ME UP,GARETH MALONE'S ALL STAR CHOIR,1,10,3.55
29/11/2014,DO THEY KNOW IT'S CHRISTMAS,BAND AID 30,1,27,3.48
06/12/2014,THESE DAYS,TAKE THAT,1,10,3.51
13/12/2014,THINKING OUT LOUD,ED SHEERAN,1,17,4.41
20/12/2014,UPTOWN FUNK,MARK RONSON FT. BRUNO MARS,1,11,4.29
27/12/2014,SOMETHING I NEED,BEN HAENOW,1,16,3.46
03/01/2015,UPTOWN FUNK,MARK RONSON FT. BRUNO MARS,6,11,4.29
14/02/2015,LOVE ME LIKE YOU DO,ELLIE GOULDING,4,19,4.12
14/03/2015,KING,YEARS & YEARS,1,4,3.35
21/03/2015,LAY ME DOWN,SAM SMITH FT. JOHN LEGEND,2,11,3.39
04/04/2015,HOLD MY HAND,JESS GLYNNE,3,12,3.47
25/04/2015,SEE YOU AGAIN,WIZ KHALIFA FT. CHARLIE PUTH,2,13,3.49
09/05/2015,CHEERLEADER (FELIX JAEHN REMIX),OMI,4,31,3.00
06/06/2015,WANT TO WANT ME,JASON DERULO,4,15,3.27
04/07/2015,NOT LETTING GO,TINIE TEMPAH FT. JESS GLYNNE,1,14,3.48
09/07/2015,ARE YOU WITH ME,LOST FREQUENCIES,1,15,2.18
16/07/2015,HOUSE EVERY WEEKEND,DAVID ZOWIE,1,19,3.02
23/07/2015,BLACK MAGIC,LITTLE MIX,3,11,3.31
13/08/2015,DRAG ME DOWN,ONE DIRECTION,1,12,3.12
20/08/2015,MARVIN GAYE,CHARLIE PUTH FT. MEGHAN TRAINOR,1,11,3.10
27/08/2015,DON'T BE SO HARD ON YOURSELF,JESS GLYNNE,1,28,3.31
03/09/2015,FIGHT SONG,RACHEL PLATTEN,1,10,3.24
10/09/2015,WHAT DO YOU MEAN?,JUSTIN BIEBER,1,17,3.25
17/09/2015,EASY LOVE,SIGALA,1,9,3.49
24/09/2015,WHAT DO YOU MEAN?,JUSTIN BIEBER,2,17,3.25
08/10/2015,WRITING'S ON THE WALL,SAM SMITH,1,21,4.38
15/10/2015,WHAT DO YOU MEAN,JUSTIN BIEBER,2,16,3.25
29/10/2015,TURN THE MUSIC LOUDER (RUMBLE),KDA FT. TINIE TEMPAH & KATY B,1,30,3.21
19/11/2015,HELLO,ADELE,3,5,4.55
26/11/2015,SORRY,JUSTIN BIEBER,2,5,3.20
10/12/2015,LOVE YOURSELF,JUSTIN BIEBER,3,13,3.53
31/12/2015,A BRIDGE OVER YOU,THE LEWISHAM & GREENWICH NHS CHOIR,1,17,4.10
07/01/2016,LOVE YOURSELF,JUSTIN BIEBER,3,13,3.53
21/01/2016,STITCHES,SHAWN MENDES,2,8,3.26
11/02/2016,PILLOWTALK,ZAYN,1,10,3.23
18/02/2016,7 YEARS,LUKAS GRAHAM,5,7,3.57
17/03/2016,I TOOK A PILL IN IBIZA,MIKE POSNER,4,22,4.40
21/04/2016,ONE DANCE,DRAKE FT. WIZKID & KYLA,15,9,2.53
04/08/2016,COLD WATER,MAJOR LAZER FT. JUSTIN BIEBER & MØ,5,10,3.05
08/09/2016,CLOSER,THE CHAINSMOKERS FT. HALSEY,4,6,4.04
06/10/2016,SAY YOU WON'T LET GO,JAMES ARTHUR,3,20,3.31
27/10/2016,SHOUT OUT TO MY EX,LITTLE MIX,3,18,4.06
17/11/2016,ROCKABYE,CLEAN BANDIT ,9,8,4.11
19/01/2017,SHAPE OF YOU,ED SHEERAN,13,12,3.53
20/04/2017,SIGN OF THE TIMES,HARRY STYLES,1,17,5.40
27/04/2017,SHAPE OF YOU,ED SHEERAN,1,12,3.53
04/05/2017,SYMPHONY,CLEAN BANDIT FT. ZARA LARSSON,1,8,3.32
11/05/2017,I'M THE ONE,"DJ KHALED FT. JUSTIN BIEBER, QUAVO, CHANCE THE RAPPER & LIL WAYNE",1,11,4.48
18/05/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,6,9,3.50
29/06/2017,BRIDGE OVER TROUBLED WATER,ARTISTS FOR GRENFELL,1,26,3.53
06/07/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,3,9,3.50
27/07/2017,WILD THOUGHTS,DJ KHALED FT. RIHANNA & BRYSON TILLER,1,13,3.24
03/08/2017,DESPACITO,LUIS FONSI & DADDY YANKEE FT. JUSTIN BIEBER,2,9,3.50
17/08/2017,FEELS,"CALVIN HARRIS FT. PHARRELL, KATY PERRY & BIG SEAN",1,5,3.43
24/08/2017,NEW RULES,DUA LIPA,2,9,3.32
07/09/2017,LOOK WHAT YOU MADE ME DO,TAYLOR SWIFT,2,24,3.31
21/09/2017,TOO GOOD AT GOODBYES,SAM SMITH,3,20,3.21
12/10/2017,ROCKSTAR,POST MALONE FT. 21 SAVAGE,4,8,3.38
09/11/2017,HAVANA,CAMILA CABELLO FT. YOUNG THUG,5,6,3.37
14/12/2017,PERFECT,ED SHEERAN,6,7,4.23
25/01/2018,RIVER,EMINEM FT. ED SHEERAN,1,5,3.41
01/02/2018,GOD'S PLAN,DRAKE,9,10,3.18
05/04/2018,THESE DAYS,"RUDIMENTAL FT. JESS GLYNNE, MACKLEMORE & DAN CAPLEN",1,10,3.30
12/04/2018,FREAKY FRIDAY,LIL DICKY FT. CHRIS BROWN,1,13,3.36
19/04/2018,NICE FOR WHAT,DRAKE,1,13,3.30
26/04/2018,ONE KISS,CALVIN HARRIS & DUA LIPA,8,8,3.34
21/06/2018,I'LL BE THERE,JESS GLYNNE,1,13,3.13
28/06/2018,SOLO,CLEAN BANDIT FT. DEMI LOVATO,1,4,3.42
05/07/2018,SHOTGUN,GEORGE EZRA,2,7,3.21
19/07/2018,3 LIONS,BADDIEL/SKINNER/LIGHTNING SEEDS,1,7,3.47
