DATE,TITLE,ARTIST,NUMBER OF WEEKS,TITLE LENGTH,SONG LENGTH
18/08/1966,YELLOW SUBMARINE/ELEANOR RIGBY,BEATLES,4,30,2.38
15/09/1966,ALL OR NOTHING,SMALL FACES,1,14,3.03
22/09/1966,DISTANT DRUMS,JIM REEVES,5,13,2.50
27/10/1966,REACH OUT I'LL BE THERE,FOUR TOPS,3,23,2.57
17/11/1966,GOOD VIBRATIONS,BEACH BOYS,2,15,3.39
01/12/1966,GREEN GREEN GRASS OF HOME,TOM JONES,7,25,3.04
19/01/1967,I'M A BELIEVER,MONKEES,4,14,2.45
16/02/1967,THIS IS MY SONG,PETULA CLARK,2,15,3.13
02/03/1967,RELEASE ME,ENGELBERT HUMPERDINCK,6,10,3.18
13/04/1967,SOMETHIN' STUPID,NANCY SINATRA & FRANK SINATRA,2,16,2.42
27/04/1967,PUPPET ON A STRING,SANDIE SHAW,3,18,2.23
18/05/1967,SILENCE IS GOLDEN,TREMELOES,3,17,3.10
08/06/1967,A WHITER SHADE OF PALE,PROCOL HARUM,6,22,4.08
19/07/1967,ALL YOU NEED IS LOVE,BEATLES,3,20,3.50
09/08/1967,SAN FRANCISCO (BE SURE TO WEAR SOME FLOWERS IN YOUR HAIR),SCOTT MCKENZIE,4,57,2.58
06/09/1967,THE LAST WALTZ,ENGELBERT HUMPERDINCK,5,14,2.48
11/10/1967,MASSACHUSETTS,BEE GEES,4,13,2.26
08/11/1967,BABY NOW THAT I'VE FOUND YOU,FOUNDATIONS,2,28,2.32
22/11/1967,LET THE HEARTACHES BEGIN,LONG JOHN BALDRY,2,24,3.12
06/12/1967,HELLO GOODBYE,BEATLES,7,13,3.28
24/01/1968,THE BALLAD OF BONNIE AND CLYDE,GEORGIE FAME,1,30,3.09
31/01/1968,EVERLASTING LOVE,LOVE AFFAIR,2,16,3.02
14/02/1968,MIGHTY QUINN,MANFRED MANN,2,12,6.29
28/02/1968,CINDERELLA ROCKEFELLA,ESTHER & ABI OFARIM,3,21,2.28
20/03/1968,THE LEGEND OF XANADU,"DAVE DEE, DOZY, BEAKY, MICK & TICH",1,20,3.36
27/03/1968,LADY MADONNA,BEATLES,2,12,2.16
10/04/1968,CONGRATULATIONS,CLIFF RICHARD,2,15,2.31
24/04/1968,WHAT A WONDERFUL WORLD/CABARET,LOUIS ARMSTRONG,4,30,2.17
22/05/1968,YOUNG GIRL,UNION GAP FEATURING GARY PUCKETT,4,10,3.14
